Package, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
libxcursor-native, 1213395, 3.35, 19, 2, 122, 14, 10318987, 756558, 6205, 1012, 364544, 655360, 20480, 0.19617199999999999, 0.024520999999999998, 70968, 8832, 0, 0, 424, 88, 44, 1.22281, 0.14193699999999998, 68276, 102592, 3, 712, 856, 1110, 1037
swig-native, 975320, 3.93, 22, 1, 3160, 154, 143646035, 18652065, 34276, 8087, 4067328, 9691136, 0, 0.221827, 0.016741, 69984, 8602, 0, 0, 264, 128, 525, 31.600525, 1.545447, 162304, 647561, 6, 7944, 18664, 3114, 13523
libxslt-native, 1015172, 10.26, 18, 2, 748, 68, 56207896, 2810787, 20661, 3223, 1445888, 1515520, 118784, 0.182582, 0.025476, 70620, 8769, 0, 0, 312, 127, 49, 7.484189, 0.6807869999999999, 67920, 445152, 22, 2824, 2648, 4905, 8348
shadow-native, 359031, 3.51, 19, 3, 1108, 214, 265042019, 7645803, 164455, 15588, 16384, 6033408, 12288, 0.19705499999999998, 0.036323, 66508, 8783, 0, 0, 936, 379, 88, 11.088884, 2.146514, 63736, 1400069, 81, 32, 10848, 25817, 16475
gdbm-native, 96644, 1.06, 11, 1, 492, 78, 68280787, 2582812, 31945, 4636, 16384, 2052096, 192512, 0.118115, 0.01524, 63568, 8418, 0, 0, 304, 135, 13, 4.929583, 0.782505, 60860, 650119, 19, 32, 3704, 6282, 2522
icu-native, 328777, 36.29, 41, 3, 23246, 2141, 4376296188, 344694151, 516642, 91073, 172032, 245633024, 688128, 0.416577, 0.038257, 66016, 8755, 0, 0, 624, 1179, 148, 232.46579, 21.415049, 560220, 10561232, 238, 336, 479128, 36941, 129478
itstool-native, 993695, 0.11, 17, 1, 0, 0, 640611, 46569, 191, 157, 0, 36864, 0, 0.17133199999999998, 0.011422, 69924, 8360, 0, 0, 72, 9, 60, 0.004614, 0.006483999999999999, 67232, 1670, 0, 0, 0, 20, 21
meson-native, 950361, 5.82, 28, 2, 197, 29, 24982161, 14808954, 5611, 4791, 13086720, 15912960, 4362240, 0.2868, 0.024939, 71144, 8646, 0, 0, 256, 791, 47, 1.970685, 0.297486, 68352, 20280, 0, 25560, 30824, 2082, 1440
chrpath-native, 321623, 0.18, 10, 2, 26, 2, 5381168, 160412, 1845, 361, 0, 135168, 0, 0.10456, 0.024128999999999998, 66024, 8483, 0, 0, 88, 16, 6, 0.261862, 0.029044, 63320, 26756, 0, 0, 176, 96, 58
spirv-headers-native, 834513, 0.03, 8, 0, 0, 0, 587662, 29120, 105, 123, 0, 20480, 0, 0.081998, 0.004099, 70920, 7005, 0, 0, 40, 5, 1, 0.006207, 0.0, 68228, 1321, 0, 0, 0, 6, 0
