Package, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
binutils-cross-x86_64, 731676, 0.44, 18, 3, 2, 0, 583507, 166519, 498, 322, 0, 118784, 0, 0.18656299999999998, 0.035724, 69252, 18738, 0, 0, 192, 41, 90, 0.02421, 0.009299, 66452, 4694, 0, 0, 40, 95, 57
libice-native, 528374, 0.09, 11, 2, 1, 0, 761330, 158168, 484, 299, 0, 122880, 0, 0.112909, 0.02336, 67356, 18822, 0, 0, 200, 28, 6, 0.015851, 0.0030429999999999997, 64488, 4673, 0, 0, 40, 173, 9
libtirpc-native, 19447, 0.07, 8, 2, 1, 0, 736033, 157225, 500, 297, 0, 118784, 0, 0.089847, 0.027344, 60660, 18478, 0, 0, 192, 32, 42, 0.012843, 0.0034289999999999998, 57820, 4680, 0, 0, 40, 151, 9
libarchive-native, 28290, 0.06, 10, 1, 0, 0, 759138, 158389, 495, 298, 0, 118784, 0, 0.102139, 0.012256, 62128, 18589, 0, 0, 192, 35, 11, 0.009715, 0.006242999999999999, 59228, 4682, 0, 0, 40, 127, 12
font-util-native, 328284, 0.12, 16, 1, 1, 1, 759458, 158474, 470, 296, 0, 118784, 0, 0.16350699999999999, 0.012263, 66120, 18767, 0, 0, 192, 28, 14, 0.012577999999999999, 0.01273, 63264, 4676, 0, 0, 40, 77, 31
libxft-native, 577746, 0.21, 20, 3, 1, 1, 764792, 157702, 470, 296, 0, 118784, 0, 0.207402, 0.035219, 68440, 18976, 0, 0, 192, 28, 47, 0.019287, 0.011104, 65564, 4688, 0, 0, 40, 71, 99
alsa-ucm-conf, 689255, 0.41, 16, 2, 2, 1, 482901, 137553, 450, 275, 0, 106496, 0, 0.166593, 0.028442, 68768, 18108, 0, 0, 168, 35, 59, 0.023894, 0.010206999999999999, 65968, 4579, 0, 0, 40, 55, 56
encodings, 347292, 0.42, 15, 2, 1, 1, 507505, 145383, 465, 282, 0, 106496, 0, 0.151316, 0.027874, 65772, 18415, 0, 0, 168, 36, 73, 0.018827, 0.011805, 62972, 4590, 0, 0, 40, 62, 46
alsa-topology-conf, 689243, 0.35, 14, 2, 2, 1, 483415, 139033, 454, 278, 0, 106496, 0, 0.147374, 0.026007, 68756, 18129, 0, 0, 168, 33, 49, 0.021175, 0.013484999999999999, 65956, 4621, 0, 0, 40, 104, 65
netbase, 685919, 0.36, 16, 2, 2, 1, 482078, 136013, 534, 274, 0, 102400, 0, 0.16591599999999998, 0.029035, 68792, 18355, 0, 0, 160, 77, 51, 0.023219999999999998, 0.01116, 65992, 4606, 0, 0, 40, 82, 104
pulseaudio-client-conf-sato, 693377, 0.19, 15, 3, 1, 1, 483456, 139579, 456, 278, 0, 106496, 0, 0.154502, 0.037580999999999996, 68836, 18188, 0, 0, 168, 28, 108, 0.017100999999999998, 0.013994, 66036, 4583, 0, 0, 40, 87, 54
run-postinsts, 691975, 0.39, 17, 2, 3, 0, 497209, 143534, 484, 310, 0, 106496, 0, 0.176419, 0.028065999999999997, 68908, 18304, 0, 0, 168, 45, 104, 0.031989, 0.001344, 66104, 4580, 0, 0, 40, 99, 84
tzdata, 683894, 0.10, 12, 1, 1, 0, 488339, 137223, 461, 278, 0, 102400, 0, 0.12056, 0.019445, 68860, 18285, 0, 0, 160, 30, 9, 0.017631, 0.0056689999999999996, 66060, 4568, 0, 0, 40, 153, 10
xcursor-transparent-theme, 692966, 0.24, 17, 1, 1, 1, 509339, 150661, 523, 300, 0, 110592, 0, 0.17953, 0.012525, 68648, 18200, 0, 0, 176, 63, 342, 0.016222, 0.017855, 65848, 4628, 0, 0, 40, 85, 91
shutdown-desktop, 692271, 0.32, 16, 2, 2, 0, 482718, 137560, 457, 275, 0, 106496, 0, 0.169505, 0.027593, 68824, 18174, 0, 0, 168, 38, 77, 0.029646, 0.003859, 66024, 4601, 0, 0, 40, 66, 52
packagegroup-core-ssh-dropbear, 756495, 0.28, 19, 0, 2, 1, 476130, 142792, 474, 299, 0, 102400, 0, 0.19380899999999998, 0.008426, 68976, 18104, 0, 0, 168, 61, 115, 0.020616, 0.011942999999999999, 66176, 4466, 0, 0, 32, 94, 94
ca-certificates, 683958, 0.10, 11, 1, 1, 1, 485696, 138276, 451, 275, 0, 106496, 0, 0.116835, 0.012981, 68824, 18286, 0, 0, 168, 26, 6, 0.010478999999999999, 0.010491, 66024, 4583, 0, 0, 40, 155, 7
