Package, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
libxcb, 1867933, 1.18, 19, 3, 4, 4, 1787027, 944046, 1448, 447, 4096, 745472, 0, 0.19244799999999998, 0.033961, 72912, 23261, 0, 0, 296, 47, 53, 0.042817999999999995, 0.04475, 70112, 7263, 0, 8, 1160, 222, 163
expat, 1474038, 1.00, 24, 3, 6, 0, 808220, 304505, 922, 323, 0, 233472, 0, 0.24134599999999998, 0.030167999999999997, 71112, 23062, 0, 0, 240, 69, 152, 0.062250999999999994, 0.008405, 68312, 6923, 0, 0, 216, 139, 128
wpa-supplicant, 2976114, 0.94, 16, 3, 5, 0, 957050, 349880, 923, 325, 0, 274432, 0, 0.162151, 0.031639, 62512, 21358, 0, 0, 224, 57, 158, 0.05307, 0.006424, 59668, 6986, 1, 0, 312, 142, 70
xz, 1673300, 2.44, 19, 2, 4, 2, 1158737, 581259, 1212, 398, 135168, 462848, 0, 0.192205, 0.026819, 71736, 23294, 0, 256, 296, 52, 117, 0.040722999999999995, 0.025512, 68976, 7033, 0, 8, 608, 154, 74
libfm-extra, 2780771, 1.04, 20, 2, 2, 3, 811353, 269388, 918, 320, 0, 208896, 0, 0.20995899999999998, 0.024225999999999998, 74060, 23821, 0, 0, 232, 76, 112, 0.024477, 0.032554, 71280, 6937, 0, 0, 176, 99, 162
libglu, 3483626, 2.46, 14, 2, 3, 2, 873673, 296680, 942, 325, 4096, 225280, 0, 0.148947, 0.026284, 60592, 21382, 0, 8, 224, 88, 310, 0.030969999999999998, 0.021155, 57684, 6963, 0, 0, 216, 118, 192
font-util, 1916268, 0.53, 18, 3, 4, 1, 761912, 244532, 860, 313, 0, 200704, 0, 0.184672, 0.039292, 72756, 21074, 0, 0, 224, 55, 98, 0.042676, 0.016914, 69952, 6926, 0, 0, 168, 118, 87
glib-2.0, 2710961, 4.00, 26, 5, 6, 6, 3656848, 2626382, 2605, 800, 0, 1671168, 0, 0.263135, 0.056386, 74448, 23999, 0, 0, 712, 59, 572, 0.06807099999999999, 0.06713, 71644, 7691, 1, 0, 2552, 230, 192
libcap, 1459137, 0.89, 18, 2, 4, 2, 757018, 259525, 884, 312, 4096, 212992, 0, 0.183518, 0.024468999999999998, 70536, 20624, 0, 0, 216, 65, 88, 0.046048, 0.020413, 67736, 6874, 0, 8, 200, 119, 81
libxfixes, 2211126, 0.49, 17, 2, 4, 2, 787922, 265130, 875, 316, 0, 204800, 0, 0.174226, 0.026115, 72636, 20721, 0, 0, 224, 57, 82, 0.040915, 0.021897, 69832, 6923, 1, 0, 176, 108, 95
alsa-lib, 1914176, 0.50, 16, 4, 4, 1, 918253, 369531, 926, 332, 0, 266240, 0, 0.16061999999999999, 0.040154999999999996, 72244, 21264, 0, 0, 248, 57, 88, 0.049956999999999994, 0.014750999999999998, 69444, 6972, 0, 0, 272, 162, 115
libpcre2, 1694567, 1.87, 11, 3, 2, 2, 899345, 348775, 1013, 339, 0, 286720, 0, 0.115061, 0.035708, 71952, 23210, 0, 0, 240, 69, 45, 0.027649999999999997, 0.024340999999999998, 69152, 6964, 0, 0, 320, 156, 100
util-linux-libuuid, 1817468, 0.79, 17, 4, 5, 0, 809755, 295804, 907, 319, 0, 204800, 0, 0.17835399999999998, 0.041742, 72348, 23669, 0, 0, 224, 77, 122, 0.057782999999999994, 0.002315, 69548, 6919, 0, 0, 176, 120, 106
matchbox-config-gtk, 3855396, 0.28, 17, 5, 2, 2, 792047, 234205, 862, 311, 0, 196608, 0, 0.171348, 0.055786999999999996, 61140, 23900, 0, 0, 224, 53, 52, 0.025807, 0.024690999999999998, 58284, 6955, 0, 0, 160, 119, 140
libxt, 2599580, 1.19, 20, 3, 4, 2, 892754, 317429, 900, 323, 0, 229376, 0, 0.205207, 0.038001, 74140, 21214, 0, 0, 224, 68, 124, 0.042696, 0.022209, 71396, 6944, 0, 0, 224, 139, 110
