Package, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
librepo, 3136539, 4.96, 15, 0, 32, 6, 7150109, 953682, 5102, 1342, 815104, 847872, 200704, 0.15695299999999998, 0.008719, 60972, 9699, 0, 24, 152, 31, 54, 0.328659, 0.060703, 58136, 37807, 2, 1568, 1504, 1176, 1012
libcomps, 3133196, 2.42, 17, 1, 21, 3, 5946689, 889494, 2937, 1109, 499712, 802816, 196608, 0.17552199999999998, 0.015955999999999998, 60640, 9378, 0, 24, 144, 25, 58, 0.211221, 0.033076999999999995, 57772, 18151, 0, 952, 1424, 454, 438
mtdev, 1882161, 20.85, 29, 2, 385, 64, 94429700, 13710505, 42580, 14686, 413696, 13058048, 7704576, 0.294418, 0.025601, 71616, 18412, 0, 712, 312, 208, 113, 3.855124, 0.641649, 68728, 424148, 8, 96, 25192, 6240, 4981
util-macros, 1527850, 5.45, 23, 3, 105, 13, 17131236, 1908317, 16955, 5106, 385024, 1601536, 344064, 0.238639, 0.039120999999999996, 70844, 16767, 0, 552, 280, 185, 161, 1.058361, 0.137231, 67928, 112341, 4, 200, 2848, 2169, 1951
pulseaudio, 3446577, 25.52, 34, 2, 492, 97, 85107136, 10208808, 34307, 10208, 925696, 10870784, 2162688, 0.347937, 0.027060999999999998, 59604, 13028, 0, 24, 216, 60, 64, 4.92189, 0.972567, 56492, 400987, 12, 1784, 21016, 4604, 4551
libvorbis, 1780918, 28.04, 25, 4, 550, 84, 117221100, 18515538, 53719, 16802, 942080, 17092608, 9707520, 0.251639, 0.043762999999999996, 71584, 17111, 0, 440, 328, 267, 64, 5.507565, 0.843934, 68868, 543193, 12, 1400, 33056, 7824, 6429
orc, 1444397, 10.21, 14, 1, 132, 12, 18977888, 5348127, 5476, 1857, 311296, 5709824, 212992, 0.14610199999999998, 0.012891, 70936, 9347, 0, 24, 152, 35, 163, 1.329447, 0.12645699999999999, 68012, 57612, 16, 584, 11000, 847, 1167
gdbm, 1527923, 15.27, 29, 4, 572, 106, 138257573, 22572141, 62622, 19285, 876544, 20811776, 11665408, 0.292033, 0.042831, 71064, 17267, 0, 368, 344, 297, 114, 5.721069, 1.066396, 68152, 659564, 26, 1344, 40304, 7293, 5559
diffutils, 2005828, 92.86, 36, 6, 1923, 371, 295551163, 53415628, 136842, 45757, 2932736, 49233920, 25169920, 0.369677, 0.060934999999999996, 71604, 17137, 0, 920, 408, 660, 171, 19.235822, 3.715472, 68728, 1758103, 69, 4808, 95752, 17458, 19645
xf86-video-fbdev, 3548274, 46.63, 34, 4, 556, 81, 129337390, 17499066, 58145, 18771, 471040, 17092608, 10100736, 0.342039, 0.040239, 59696, 17545, 0, 608, 376, 270, 178, 5.564996, 0.810342, 56904, 596674, 27, 312, 33008, 7695, 6764
xkeyboard-config, 1711288, 8.32, 20, 1, 99, 5, 9468832, 5434191, 1539, 1063, 974848, 6008832, 0, 0.203093, 0.011715999999999999, 71828, 9412, 0, 24, 152, 35, 52, 0.9930359999999999, 0.051778, 68908, 10474, 0, 1880, 11584, 487, 838
util-linux, 2116665, 72.14, 41, 5, 1752, 349, 373189880, 53043054, 159559, 49798, 3149824, 49856512, 29478912, 0.41247799999999996, 0.051028, 72384, 17151, 0, 712, 464, 631, 226, 17.52414, 3.494583, 69464, 1881157, 52, 5440, 96912, 18327, 16448
libice, 1593964, 44.74, 17, 4, 522, 120, 146691043, 18744598, 64388, 20457, 245760, 18489344, 10928128, 0.17623, 0.044057, 71800, 18275, 0, 368, 376, 250, 25, 5.224485, 1.20499, 69068, 706965, 21, 112, 35736, 6620, 3794
gnutls, 2511804, 305.02, 47, 6, 4001, 576, 635185903, 125514908, 287071, 85866, 11223040, 112594944, 55373824, 0.47162, 0.06550199999999999, 73240, 17258, 0, 1920, 600, 1171, 196, 40.013726, 5.767728, 70520, 3234193, 71, 20000, 219312, 37873, 39776
attr, 1528110, 10.76, 30, 3, 492, 73, 121915189, 20948254, 51717, 17499, 700416, 19161088, 10985472, 0.303189, 0.037378999999999996, 71040, 19835, 0, 368, 328, 242, 155, 4.920448, 0.732931, 68140, 527935, 16, 1000, 37096, 6209, 4538
avahi, 2971175, 129.43, 38, 8, 1200, 182, 253472817, 41910700, 117784, 34579, 2215936, 38273024, 21803008, 0.387994, 0.08667899999999999, 62540, 20761, 0, 1800, 488, 558, 170, 12.003939, 1.821861, 59848, 1233282, 25, 2528, 74264, 15505, 13595
libfontenc, 1858136, 30.06, 34, 3, 605, 93, 137938309, 17927521, 62088, 19174, 897024, 17563648, 10424320, 0.34365199999999996, 0.033123, 72804, 20035, 0, 728, 368, 243, 107, 6.052262, 0.93728, 69884, 647064, 24, 1024, 33936, 8625, 7577
which, 2411647, 27.05, 29, 3, 279, 63, 47696222, 4078600, 23117, 8599, 442368, 4059136, 1740800, 0.297504, 0.037188, 71892, 17374, 0, 152, 288, 233, 101, 2.798401, 0.636613, 69056, 302844, 6, 712, 7640, 2839, 3290
libepoxy, 3460798, 8.96, 22, 3, 137, 23, 18070245, 5186481, 6487, 2198, 69632, 5681152, 430080, 0.221773, 0.039346, 58784, 11526, 0, 24, 160, 47, 159, 1.375381, 0.239164, 55852, 108175, 4, 112, 10936, 1021, 1079
gobject-introspection, 2870656, 19.65, 16, 2, 303, 50, 32330295, 9285790, 10889, 3971, 1241088, 9854976, 704512, 0.16813999999999998, 0.021464, 73780, 12013, 0, 24, 224, 50, 140, 3.031099, 0.501544, 71084, 193893, 4, 2400, 19024, 1827, 1988
xauth, 2699563, 36.39, 34, 4, 370, 70, 71092131, 8027845, 37146, 11977, 118784, 8343552, 4407296, 0.340677, 0.041638, 73860, 17884, 0, 168, 344, 271, 92, 3.709337, 0.7086399999999999, 70952, 421656, 8, 64, 15952, 3238, 3413
libmpc, 2254651, 22.73, 22, 5, 530, 90, 130752800, 18315741, 55563, 16914, 667648, 17186816, 9822208, 0.22893999999999998, 0.056296, 71960, 16927, 0, 160, 320, 233, 18, 5.308586, 0.909129, 69076, 567084, 25, 1144, 33248, 7109, 5602
menu-cache, 2777353, 43.53, 32, 3, 462, 65, 106414200, 18244566, 46274, 16378, 233472, 16846848, 8863744, 0.320154, 0.03049, 74116, 18336, 0, 160, 336, 226, 138, 4.621582, 0.6511359999999999, 71264, 452498, 1, 296, 32568, 5991, 4788
initscripts, 358118, 0.06, 10, 0, 0, 0, 305264, 58683, 87, 88, 0, 69632, 0, 0.109785, 0.007840999999999999, 65672, 8418, 0, 0, 120, 4, 12, 0.003526, 0.0007109999999999999, 62748, 699, 0, 0, 16, 5, 2
libtirpc, 1527991, 11.89, 23, 6, 513, 87, 129138309, 18111361, 53032, 17072, 819200, 16949248, 9965568, 0.23435399999999998, 0.060607999999999995, 70740, 19876, 0, 768, 328, 225, 302, 5.139767, 0.875312, 67868, 555431, 23, 832, 32776, 5563, 3772
cairo, 3460692, 115.99, 42, 6, 1564, 231, 316977820, 52452211, 139736, 45915, 1863680, 48271360, 27185152, 0.42178499999999997, 0.060924, 59816, 18032, 0, 208, 520, 568, 110, 15.648832, 2.315804, 56868, 1414425, 42, 3432, 93760, 18435, 16813
gst-examples, 3940643, 4.03, 18, 2, 91, 11, 18330558, 5437537, 5941, 2076, 409600, 5812224, 139264, 0.182248, 0.023771, 61880, 13024, 0, 24, 160, 13, 3, 0.9123549999999999, 0.11703699999999999, 58984, 64500, 0, 776, 11192, 799, 580
libmodulemd, 2969922, 11.33, 17, 1, 226, 28, 31173391, 8222917, 7518, 2687, 114688, 8773632, 311296, 0.178745, 0.018619, 61632, 11544, 0, 24, 176, 37, 71, 2.265975, 0.280847, 58708, 105056, 3, 200, 16960, 948, 1208
libnl, 1857232, 25.84, 24, 6, 545, 69, 112426683, 19066766, 51715, 16656, 1150976, 17362944, 9576448, 0.24454399999999998, 0.064957, 71852, 17116, 0, 920, 328, 247, 97, 5.450558, 0.691789, 68952, 494393, 15, 1328, 33584, 6631, 5401
