Package, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
ncurses, 231516, 0.27, 13, 2, 19, 5, 6317573, 3932903, 3874, 1313, 0, 3981312, 4096, 0.135273, 0.023188999999999998, 62748, 14587, 0, 0, 152, 33, 11, 0.19483899999999998, 0.051569, 56796, 57559, 0, 0, 7624, 927, 56
xf86-video-vmware, 681153, 0.06, 7, 2, 0, 0, 657432, 119751, 216, 80, 0, 126976, 4096, 0.07305099999999999, 0.023067999999999998, 67332, 10648, 0, 0, 120, 6, 4, 0.006364, 0.002302, 61732, 955, 0, 0, 128, 13, 1
mpg123, 578945, 0.06, 9, 2, 1, 0, 1424875, 633274, 371, 206, 0, 647168, 4096, 0.09637, 0.024092, 65560, 11932, 0, 0, 120, 6, 43, 0.013864999999999999, 0.0018889999999999998, 59852, 964, 0, 0, 1144, 12, 23
findutils, 518993, 0.10, 9, 1, 3, 0, 738307, 136589, 681, 142, 0, 159744, 4096, 0.09737, 0.016228, 65232, 11174, 0, 0, 136, 13, 9, 0.038951, 0.006993999999999999, 59668, 9276, 0, 0, 176, 141, 39
libxi, 314961, 0.04, 11, 0, 0, 0, 599535, 118638, 203, 79, 0, 126976, 4096, 0.115272, 0.004116, 63584, 8552, 0, 0, 120, 6, 6, 0.006578, 0.003052, 57756, 946, 0, 0, 128, 10, 11
gdk-pixbuf, 309355, 0.15, 11, 1, 6, 1, 1093645, 178852, 1316, 206, 0, 196608, 4096, 0.11784299999999999, 0.016834, 64208, 11884, 0, 0, 136, 17, 38, 0.06536299999999999, 0.016892, 58576, 19077, 0, 0, 248, 299, 38
dosfstools, 679858, 0.06, 7, 2, 1, 0, 1150799, 635223, 346, 209, 0, 647168, 4096, 0.074171, 0.023422, 67320, 10708, 0, 0, 120, 6, 4, 0.010213, 0.0014069999999999998, 61728, 962, 0, 0, 1144, 13, 4
libdnf, 560730, 0.69, 11, 2, 19, 3, 2677315, 697854, 3337, 455, 0, 716800, 4096, 0.11662099999999999, 0.028149999999999998, 65792, 14267, 0, 0, 144, 28, 71, 0.192987, 0.036531, 60064, 47706, 0, 0, 1256, 782, 279
libtool, 428768, 2.77, 13, 2, 61, 8, 11292638, 5749801, 10139, 2244, 4096, 5705728, 4096, 0.13538, 0.021152999999999998, 64296, 21910, 0, 8, 176, 71, 50, 0.6145619999999999, 0.081262, 58256, 152968, 3, 0, 10968, 2544, 1418
openssh, 535514, 0.11, 7, 1, 6, 1, 1953361, 701619, 2081, 410, 212992, 712704, 4096, 0.075338, 0.01586, 65800, 12631, 0, 0, 160, 21, 3, 0.068962, 0.018094, 60236, 28108, 7, 416, 1232, 461, 28
dbus, 272356, 0.09, 8, 2, 3, 0, 807145, 197214, 677, 166, 0, 217088, 4096, 0.082469, 0.029987999999999997, 63600, 11262, 0, 0, 136, 13, 8, 0.037461, 0.007696, 58028, 9357, 0, 0, 288, 137, 31
libmatchbox, 534319, 0.03, 4, 1, 0, 0, 1013032, 634073, 319, 207, 0, 647168, 4096, 0.049893, 0.011512999999999999, 65172, 8762, 0, 0, 120, 6, 6, 0.008676, 0.001193, 59476, 956, 0, 0, 1144, 13, 2
nettle, 262206, 0.12, 7, 2, 7, 1, 1624984, 718650, 1453, 335, 0, 753664, 4096, 0.070737, 0.022338, 62836, 9869, 0, 0, 144, 17, 8, 0.07808999999999999, 0.014563999999999999, 56876, 18888, 2, 0, 1328, 304, 48
speexdsp, 407054, 0.05, 10, 2, 0, 0, 1358187, 632702, 391, 204, 0, 647168, 4096, 0.110013, 0.020371999999999998, 63864, 8518, 0, 0, 120, 6, 7, 0.00806, 0.00224, 58156, 962, 0, 0, 1144, 12, 5
acl, 285187, 0.15, 8, 2, 10, 1, 1883146, 670322, 2060, 360, 0, 700416, 4096, 0.086146, 0.022472, 63276, 13414, 0, 0, 144, 21, 12, 0.10278, 0.017075, 57536, 28347, 0, 0, 1224, 445, 54
btrfs-tools, 674742, 0.08, 7, 1, 3, 0, 1371054, 677494, 885, 277, 0, 704512, 4096, 0.073084, 0.016241, 67492, 11776, 0, 0, 128, 13, 5, 0.030482, 0.009311, 61304, 9308, 0, 0, 1248, 140, 15
socat, 674762, 0.05, 5, 2, 0, 0, 1017489, 632051, 317, 203, 0, 647168, 4096, 0.056768, 0.026490999999999997, 66856, 10570, 0, 0, 120, 6, 45, 0.008048, 0.002822, 61048, 970, 0, 0, 1144, 13, 7
